GrB WER CER EER NHU EHU CHU SMI CMI NCMI NMI WON EON WSU CSU ESU LSC NR SB SMR WB NCGeB CON
19780227 99.9 99.9 100 100 89.9 95.3 95.5 81 44.1 42.4 92 56.6 95.5 97.6 93.9 85.4 99.6 NA 98.1 99.8 100 98.5 37.9
19780228 99.9 99.9 100 100 90.3 95.3 95.5 85.2 42.9 37 92.3 53 96.5 97.6 93.5 87.9 99.7 NA 98.1 99.8 100 98.5 37.2
19780301 99.9 100 100 100 91.5 95.4 95.5 88.7 41.7 32.6 91.7 51.5 97.2 97.6 93.1 90.7 100 NA 98.1 99.7 100 98.5 36.7
19780302 99.9 100 100 100 90.3 95.4 95.4 82.6 40.1 35.1 92 52.9 96.6 96.7 92.3 90 100 NA 98.1 99.7 100 98.5 36
19780303 99.9 100 100 100 89.8 95.3 95.4 78.3 39.4 37.8 92.7 53.4 94.3 94.4 90.4 88.5 100 NA 98 99.7 100 98.5 35.3
19780304 99.9 100 100 100 88.6 95.3 95.3 72.1 37.8 40.3 93 54.7 93.6 93.6 89.6 87.7 100 NA 98 99.7 100 98.5 34.7
19780305 99.9 100 100 100 86.9 95 94.8 65.8 35.3 41.5 93.8 57 92.7 90.7 87.1 85.2 100 NA 97.3 99.7 99 98.5 33.7
19780306 99.9 100 100 100 85.7 95 94.8 59.6 33.7 44 94.1 58.3 92 89.9 86.2 84.4 100 NA 97.3 99.7 99 98.5 33.1
19780307 99.9 100 100 100 85.1 94.9 94.8 55.3 33 46.7 94.8 58.8 89.7 87.5 84.3 83 100 NA 97.2 99.6 98.9 98.5 32.4
19780308 99.9 100 100 100 83.9 94.9 94.7 49.2 31.4 49.2 95.1 60.2 89.1 86.7 83.5 82.2 100 NA 97.2 99.6 98.9 98.5 31.7
19780309 99.9 98.4 99.8 100 84 92.8 94 48.6 31.2 49.3 95 51.4 86.6 87.3 84.6 83.3 98.8 NA 97.2 99.7 98.9 97.1 29
19780310 99.9 97.2 99.6 100 84.7 91 93.3 47.6 30.6 48.1 95 45.9 82.3 88.4 86.6 84.2 97.9 NA 97.3 99.7 99 95.3 26.4
19780311 99.9 95.6 99.4 100 84.9 88.9 92.6 47 30.4 48.2 94.8 37 79.8 89.1 87.7 85.3 96.7 NA 97.3 99.8 99 93.8 23.7
19780312 99.9 93.8 96.6 100 84.8 86.9 91.3 46 29.2 47.8 94.6 28.2 76 89 89.4 87.2 95.5 NA 96.9 99.8 99.9 92.1 20.6
19780313 99.9 92.2 96.3 100 84.9 84.8 90.6 45.4 29 47.9 94.4 19.3 73.5 89.6 90.4 88.3 94.3 NA 96.9 99.9 99.9 90.7 17.9
19780314 99.9 91 96.2 100 85.6 83 89.9 44.4 28.4 46.6 94.4 13.9 69.2 90.7 92.5 89.3 93.4 NA 97 99.9 99.9 88.9 15.3
19780315 99.9 89.4 96 100 85.8 80.9 89.2 43.8 28.2 46.8 94.3 5 66.7 91.3 93.5 90.3 92.2 NA 97 100 99.9 87.5 12.6
19780316 98.5 87.4 95.4 99.2 76 79 82.5 40.5 26.1 43 94 5 65.8 79.9 85.2 81.1 91.5 NA 90.6 99.9 99.6 86.5 11.8
19780317 97.5 86 94.9 97.6 64.8 75.7 75.9 35.6 23.3 39 92 5 65.7 67.2 75.2 72 90.9 NA 83.9 99.9 99.6 84.2 10.5
19780318 96.1 84 94.3 96.8 55.1 73.7 69.2 32.3 21.2 35.3 91.7 5 64.9 55.7 66.8 62.7 90.2 NA 77.4 99.8 99.3 83.2 9.6
19780319 90.2 78.3 91.4 91 45.3 71.2 62.6 27.4 19 32.7 91.8 5 63 43.6 56.2 54.9 85.1 NA 70.6 99.8 98.1 81.8 8.1
19780320 88.7 76.3 90.9 90.1 35.6 69.3 55.9 24.1 16.9 29 91.5 5 62.1 32.1 47.8 45.6 84.4 NA 64.2 99.7 97.8 80.9 7.2
19780321 87.8 75 90.3 88.5 24.4 66 49.4 19.2 14 25 89.5 5 62.1 19.5 37.8 36.5 83.8 NA 57.5 99.7 97.8 78.6 5.9
19780322 86.4 72.9 89.8 87.7 14.6 64.1 42.7 15.9 12 21.2 89.2 5 61.2 8 29.5 27.3 83.1 NA 51 99.6 97.5 77.6 5
19780323 87 73.6 88.7 88.5 14.6 59.9 43 14.7 11.1 19.8 83.8 5 60.9 8.9 31.3 26.6 82 NA 51.9 99.6 97.5 77.2 5.1
19780324 87.4 74.9 89 90.1 14.7 55.2 43.8 12.7 9.9 18.1 78.7 5 58.6 9.9 33.3 27.5 81.3 NA 52.5 99.6 97.6 77.8 5.1
19780325 88.1 75.6 88 91 14.7 51 44.1 11.4 9.1 16.7 73.3 5 58.3 10.9 35.1 26.8 80.3 NA 53.3 99.6 97.6 77.4 5.1
19780326 88.5 75.7 86.9 91.8 12.4 45.5 43.1 9.5 7.9 15.1 68.3 5 58.1 11.8 34.6 25.3 83.6 NA 53.1 98.3 94.3 76.9 5.2
19780327 89.2 76.4 85.8 92.6 12.4 41.3 43.4 8.2 7 13.7 62.9 5 57.7 12.8 36.4 24.6 82.5 NA 54 98.3 94.3 76.5 5.3
19780328 89.6 77.6 86.2 94.2 12.5 36.7 44.2 6.3 5.8 12 57.7 5 55.5 13.8 38.4 25.5 81.8 NA 54.5 98.3 94.4 77.1 5.3
19780329 90.2 78.4 85.1 95 12.5 32.5 44.5 5 5 10.6 52.3 5 55.2 14.7 40.2 24.8 80.7 NA 55.4 98.3 94.4 76.7 5.3
19780330 88.2 74.1 81.5 94 12.1 33.1 43.4 5 5 9.9 50.1 5 51.7 13.6 37.2 23.6 74.2 NA 56.1 98.3 93 74.5 5.3
19780331 85.3 69.3 78.9 93.3 11.8 33.4 42.1 5 5 9.2 48.2 5 50.5 12.6 33.9 22.1 68.7 NA 57.1 98.3 92.1 72.8 5.3
19780401 83.3 65 75.3 92.4 11.5 34.1 40.9 5 5 8.5 46 5 47 11.4 30.9 20.8 62.2 NA 57.8 98.3 90.7 70.6 5.2
19780402 81.6 59.7 71.5 91.7 11 35.1 39.5 5 5 8.1 45.3 5 43.7 10.3 27.5 19.6 56 NA 58.8 99.5 92.6 67.9 5.1
19780403 79.6 55.4 67.8 90.7 10.7 35.7 38.4 5 5 7.3 43.1 5 40.2 9.2 24.5 18.3 49.5 NA 59.5 99.5 91.2 65.7 5.1
19780404 76.6 50.6 65.3 90 10.4 36 37.1 5 5 6.7 41.2 5 39 8.1 21.2 16.8 44 NA 60.5 99.4 90.3 63.9 5.1
19780405 74.6 46.3 61.7 89.1 10.1 36.7 36 5 5 6 39 5 35.5 7 18.2 15.6 37.5 NA 61.2 99.4 88.9 61.8 5
19780406 73.7 43.9 58.3 83.5 9.4 34.8 33.1 5 5 5.9 35.2 5 33.9 6.7 17.5 14.4 36.6 NA 60.5 99.3 86.2 61.5 5
19780407 72.2 39.4 54.7 78.6 8.6 33.4 30.1 5 5 5.7 30.5 5 32.8 6.4 16.5 13.5 35.3 NA 59.6 99.3 83.8 61.3 5
19780408 71.2 37 51.3 73.1 8 31.5 27.2 5 5 5.6 26.7 5 31.1 6.2 15.8 12.4 34.4 NA 58.8 99.2 81.1 61.1 5
19780409 65.4 34.5 47.9 68.4 7.1 29.4 23.3 5 5 6 24.3 5 28.8 5.9 14.7 11.2 33 NA 57.7 94.2 75.6 59.8 5
19780410 64.4 32.1 44.5 62.9 6.5 27.5 20.4 5 5 5.9 20.5 5 27.2 5.7 14 10 32.1 NA 57 94.1 72.9 59.5 5
19780411 63 27.6 40.9 57.9 5.7 26 17.3 5 5 5.7 15.8 5 26.1 5.3 13 9.1 30.8 NA 56.1 94.1 70.5 59.3 5
19780412 62 25.2 37.5 52.4 5 24.2 14.4 5 5 5.6 12 5 24.5 5.1 12.3 8 29.9 NA 55.3 94 67.8 59.1 5
19780413 58 22.1 33.2 50.5 5 22.2 13.4 5 5 5.6 12.4 5 23.2 5.1 12.3 8.2 25.5 NA 47.4 93.9 69.7 55 5
19780414 54.2 19 28.8 47.4 5 20.1 12.5 5 5 5.6 13.4 5 21.1 5.1 12.3 8.5 22.6 NA 42.5 93.8 71.7 51.6 5
19780415 50.3 15.9 24.5 45.6 5 18.1 11.5 5 5 5.6 13.9 5 19.8 5.1 12.3 8.7 18.2 NA 34.6 93.7 73.5 47.5 5
19780416 45 14.2 21.1 43.8 5 16.9 10.5 5 5 5 10.6 5 18 5 12.4 8.8 11.7 NA 27.2 97.2 73 44.4 5
19780417 41.1 11.1 16.7 42 5 14.9 9.5 5 5 5 11.1 5 16.7 5 12.4 9 7.3 NA 19.4 97.1 74.8 40.3 5
19780418 37.3 8.1 12.3 38.9 5 12.8 8.6 5 5 5 12 5 14.6 5 12.5 9.3 4.4 NA 14.4 97 76.8 36.9 5
19780419 33.3 5 8 37 5 10.8 7.6 5 5 5 12.5 5 13.3 5 12.5 9.5 0 NA 6.5 96.8 78.7 32.8 5
19780420 29.3 5 7.5 34.9 5 10 7.3 5 5 5 11.2 5 12.2 5 11.8 9.7 0 NA 6.5 91.9 76.1 31 5
19780421 25.3 5 7.2 31.8 5 9.2 6.8 5 5 5 10.6 5 11 5 11.2 9.4 0 NA 6 86.1 73.7 29.8 5
19780422 21.4 5 6.7 29.7 5 8.4 6.5 5 5 5 9.3 5 9.9 5 10.6 9.5 0 NA 6 81.1 71.2 28 5
19780423 18.9 5 6.3 27.5 5 7.5 6.1 5 5 5 8.6 5 8.4 5 10.1 9.3 5 NA 5.5 74.2 67.6 26.5 5
19780424 14.9 5 5.8 25.4 5 6.7 5.8 5 5 5 7.3 5 7.3 5 9.5 9.5 5 NA 5.5 69.2 65 24.7 5
19780425 10.9 5 5.5 22.3 5 5.8 5.3 5 5 5 6.6 5 6.1 5 8.9 9.2 5 NA 5 63.5 62.6 23.5 5
19780426 6.9 5 5 20.2 5 5 5 5 5 5 5.4 5 5 5 8.3 9.3 5 NA 5 58.5 60 21.7 5
19780427 6.7 5 5 19.2 5 5 5 5 5 5 5.3 5 5 5 8.2 8.6 5 NA 5 52.3 55.1 20.3 5
19780428 6.4 5 5 18.4 5 5 5 5 5 5 5.3 5 5 5 8.1 8.2 5 NA 5 46.6 50 19 5
19780429 6.1 5 5 17.5 5 5 5 5 5 5 5.2 5 5 5 8 7.4 5 NA 5 40.4 45 17.6 5
19780430 5.8 5 5 16.7 5 5 5 5 5 5 5.2 5 5 5 7.8 6.9 5 NA 5 33.3 38.7 15.9 5
19780501 5.5 5 5 15.8 5 5 5 5 5 5 5.1 5 5 5 7.7 6.1 5 NA 5 27.1 33.8 14.5 5
19780502 5.3 5 5 15 5 5 5 5 5 5 5.1 5 5 5 7.6 5.8 5 NA 5 21.4 28.7 13.2 5
19780503 5 5 5 14 5 5 5 5 5 5 5 5 5 5 7.5 5 5 NA 5 15.2 23.7 11.8 5
19781218 30.1 21.7 5 5 5 5 5 5 5 5 8.1 5 5.9 5 8.3 5.2 30.9 NA 30.9 45.5 5.2 11.1 5
19781219 26.3 18.7 5 5 5 5 5 5 5 5 7.7 5 5.8 5 8.4 5.2 28.3 NA 27.4 39 6.1 9.9 5
19781220 23.5 17.2 5 5 5 5 5 5 5 5 7.3 5 5.7 5 8.4 5.2 23.1 NA 23.1 35.4 6.6 9.7 5
19781221 19.7 14.2 5 5 5 5 5 5 5 5 6.9 5 5.5 5 8.5 5.1 20.6 NA 19.6 28.9 7.5 8.6 5
19781222 15.4 12.5 5 5 5 5 5 5 5 5 6.2 5 5.4 5 8.5 5.1 15.4 NA 16.3 21.7 8.3 7.4 5
19781223 11.6 9.5 5 5 5 5 5 5 5 5 5.8 5 5.3 5 8.6 5 12.8 NA 12.8 15.2 9.1 6.3 5
19781224 8.8 8 5 5 5 5 5 5 5 5 5.4 5 5.1 5 8.6 5 7.6 NA 8.5 11.5 9.7 6.1 5
19781225 5 5 5 5 5 5 5 5 5 5 5 5 5 5 8.7 5 5 NA 5 5 10.6 5 5
19781226 35.1 35 7.1 5.5 5 5 5.1 6.3 5 5 5 5 6.6 5.4 9.6 5.1 26.5 NA 32.9 51.3 16.3 14.2 5
19781227 60.1 59.9 8.9 6 5 5 5.2 7.4 5 5.1 5 5 8.1 5.8 10.4 5.1 43.1 NA 57.1 92.5 21.3 22.4 5
19781228 68 54.4 8 6.1 5.4 5 5.3 7.7 5.3 5.4 6.8 5 10 5.7 10.9 5.9 46.8 NA 57.3 92.9 20.8 24.4 5
19781229 76 47.3 7.2 6.3 5.8 5 5.5 8.1 5.6 5.8 9.1 5 12 5.7 11.8 6.7 49.5 NA 57.7 92.6 20.4 25.7 5
19781230 81.5 41.9 6.7 6.7 6.1 5 5.7 7.7 5.6 5.7 10.9 5 13.3 5.8 12.2 6.9 52.3 NA 57.6 91.8 19.2 27.3 5
19781231 89.4 34.9 5.8 6.9 6.5 5 5.9 8 5.9 6.1 13.2 5 15.2 5.8 13 7.7 55 NA 58 91.5 18.8 28.6 5
19790101 97.4 29.3 5 7 6.9 5 6.1 8.3 6.2 6.4 15 5 17.2 5.7 13.6 8.5 58.7 NA 58.2 91.9 18.2 30.6 5
19790102 97.3 36.7 11.4 13.6 10.7 7.8 10.7 15.3 7.6 7.9 22 5 16.4 11.8 15.5 8.7 65.9 NA 63.8 92.9 22.9 33.3 5
19790103 97.3 48.2 18.7 19.2 13.2 9.9 15.2 19.4 7.7 8.4 27 5 16.1 15.4 16.7 9 69.6 NA 69.6 93.8 29.9 35.7 5
19790104 97.3 55.6 25.2 25.8 17 12.6 19.8 26.4 9.1 9.8 34.1 5 15.3 21.4 18.6 9.2 76.8 NA 75.2 94.8 34.6 38.4 5
19790105 99.4 67 33.8 33.6 21.8 14.9 24.9 34.4 10.7 11.3 38.7 5 14.5 28.7 20.1 9.3 80.6 NA 78 95.8 39.5 41.3 5
19790106 99.4 74.4 40.3 40.2 25.6 17.6 29.5 41.4 12.1 12.8 45.7 5 13.8 34.7 22 9.5 87.8 NA 83.6 96.8 44.2 43.9 5
19790107 99.4 85.9 47.6 45.8 28.1 19.7 34 45.4 12.2 13.3 50.7 5 13.4 38.3 23.1 9.8 91.5 NA 89.4 97.8 51.2 46.4 5
19790108 99.3 93.3 54 52.4 31.9 22.5 38.6 52.4 13.6 14.7 57.7 5 12.7 44.4 25 10 98.7 NA 95 98.8 55.9 49.1 5
19790109 99.4 93.3 60.4 58.4 31.3 21.7 40.4 50.5 15.3 16.3 62.4 8.7 25 52 30.7 12.9 98.8 NA 95 98.8 60.6 50.6 6.5
19790110 99.5 93.4 65.3 64.4 29.7 21.2 41.1 49.1 16.3 16.9 66.2 8.7 32.6 59.9 35.7 16.1 99 NA 94.3 99 68.7 51.3 6.9
19790111 99.6 93.4 71.6 70.4 29.1 20.4 42.9 47.2 18 18.5 70.8 12.4 45 67.6 41.3 18.9 99.1 NA 94.3 99 73.4 52.8 8.4
19790112 98 98.3 77.4 73.9 28.9 20.2 45 44.3 19.3 18 73.5 12.4 54.3 72.4 47.4 21.7 99.2 NA 96 99.8 82.1 55.1 9.6
19790113 98.1 98.3 83.7 79.8 28.3 19.4 46.7 42.4 21 19.6 78.2 16.1 66.7 80.1 53 24.5 99.3 NA 96 99.8 86.8 56.6 11
19790114 98.1 98.4 88.6 85.9 26.8 19 47.4 41.1 22 20.2 81.9 16.1 74.3 88 58 27.7 99.4 NA 95.2 100 95 57.3 11.5
19790115 98.2 98.4 95 91.8 26.1 18.1 49.2 39.1 23.7 21.8 86.6 19.8 86.6 95.7 63.7 30.6 99.5 NA 95.2 100 99.7 58.8 13
19790116 98.2 98.4 94.8 91.8 27.9 21.1 47.3 42.8 21.1 19.3 82.4 18.7 84.9 95.7 63.4 28.8 99.5 NA 95.3 100 99.7 62.4 13.3
19790117 98.2 98.3 94.6 93.7 29.7 23.4 46.6 46.2 18.8 18.2 80.6 20.4 84 95 64.2 26.8 99.6 NA 94.9 100 99.7 65.3 14.1
19790118 98.3 98.3 94.4 93.7 31.5 26.4 44.7 49.8 16.2 15.7 76.4 19.2 82.3 95 64 25 99.6 NA 95 100 99.7 68.8 14.4
19790119 100 98 94.2 93.7 33.7 29 43.1 51.5 13.2 15.3 74.6 20.9 81.4 94.9 64.6 23.6 99.6 NA 92.8 100 98.5 71.5 14.7
19790120 100 98 94 93.7 35.5 32 41.2 55.2 10.6 12.8 70.4 19.8 79.7 94.9 64.3 21.8 99.6 NA 92.9 100 98.5 75.1 15
19790121 100 98 93.8 95.5 37.3 34.3 40.5 58.6 8.3 11.8 68.6 21.5 78.8 94.3 65.2 19.8 99.6 NA 92.5 100 98.5 78 15.8
19790122 100 97.9 93.6 95.5 39.1 37.3 38.6 62.2 5.7 9.3 64.4 20.4 77.1 94.3 64.9 18 99.6 NA 92.6 100 98.5 81.6 16.1
19790123 100 92 90.6 92.5 37 33.2 38 57.8 6.7 8.6 63.1 18.2 72.8 93.7 66 18.7 99.6 NA 93.1 100 98.5 77.8 15.4
19790124 100 88 88.6 90.5 35.4 30.7 38.3 54.8 7.3 8.7 61.9 16.8 68.9 92.1 66.3 19.7 99.5 NA 93.7 100 98.5 72.7 14.8
19790125 100 82 85.6 87.5 33.3 26.6 37.8 50.4 8.3 8.1 60.6 14.7 64.6 91.5 67.5 20.3 99.4 NA 94.2 100 98.5 68.9 14.2
19790126 100 77.6 83.6 86.3 31.7 24.4 37.5 47.5 8.9 7.4 57.7 13.5 60.2 92.8 69.7 21.5 99.3 NA 95.6 100 98.2 64.2 13.5
19790127 100 71.7 80.5 83.3 29.6 20.3 36.9 43 9.9 6.8 56.5 11.4 55.9 92.2 70.8 22.1 99.2 NA 96.1 100 98.2 60.5 12.8
19790128 100 67.7 78.6 81.3 28.1 17.8 37.2 40.1 10.5 6.8 55.3 10 52 90.6 71.1 23.1 99.1 NA 96.7 100 98.2 55.3 12.2
19790129 100 61.7 75.5 78.3 26 13.7 36.6 35.6 11.5 6.2 54 7.9 47.7 90 72.3 23.7 99 NA 97.2 100 98.2 51.6 11.5
19790130 100 67.3 78.5 81.3 33.8 20.3 42.4 37.7 13.4 9.9 59.8 12.4 54.6 90.6 73.7 26.1 99.1 NA 97.2 100 98.2 57.1 13.1
19790131 100 71.3 80.9 83.3 42.9 26.7 47.6 39.3 15.1 13.9 65.4 15.4 59.9 92.1 76.4 28.4 99.1 NA 97.2 100 98.2 64.6 14.2
19790201 100 76.8 83.9 86.3 50.7 33.2 53.3 41.3 17 17.7 71.2 19.9 66.8 92.7 77.8 30.7 99.2 NA 97.2 100 98.2 70.1 15.7
19790202 99.8 81.1 86.3 88.3 59.1 39.8 58.6 43.3 19.3 22.1 77.8 22.8 72.1 92 80 33.7 99.3 NA 97 100 98.8 77.5 16.9
19790203 99.9 86.7 89.3 91.3 66.9 46.3 64.3 45.3 21.2 25.9 83.6 27.2 79 92.6 81.5 36.1 99.4 NA 97 100 98.8 82.9 18.5
19790204 99.9 90.7 91.7 93.3 76.1 52.7 69.5 46.9 22.9 29.9 89.2 30.2 84.3 94.1 84.1 38.4 99.4 NA 97 100 98.8 90.5 19.6
19790205 99.9 96.2 94.7 96.3 83.9 59.3 75.2 48.9 24.8 33.7 95 34.7 91.2 94.7 85.6 40.7 99.5 NA 97 100 98.8 96 21.1
19790206 99.9 96.4 94.7 96.3 85.4 64.2 77.6 49.1 26.4 37.4 95.1 36.9 91.7 94.7 86.7 47.2 99.5 NA 97 100 98.8 96 24.8
19790207 99.9 97 95 96.3 87.5 68 79.9 49.7 29.1 41.9 95.4 40.5 92.7 94.7 88.2 52.5 99.5 NA 97 100 98.8 96.6 30.8
19790208 99.9 97.1 95 96.3 89.1 73 82.2 49.9 30.6 45.6 95.4 42.7 93.2 94.7 89.3 58.9 99.5 NA 97 100 98.8 96.6 34.5
19790209 99.9 99 99.7 100 89.8 76.5 85.3 49.1 33.1 50.5 96.9 44.8 94 96.3 92.3 65 99.5 NA 97.6 100 98.8 99.3 39.8
19790210 99.9 99.1 99.7 100 91.3 81.5 87.6 49.3 34.6 54.2 97 47 94.5 96.3 93.4 71.4 99.5 NA 97.6 100 98.8 99.3 43.5
19790211 99.9 99.7 100 100 93.4 85.2 89.9 49.9 37.3 58.7 97.3 50.5 95.5 96.3 95 76.7 99.5 NA 97.6 100 98.8 100 49.5
19790212 99.9 99.9 100 100 95 90.2 92.2 50.1 38.9 62.4 97.4 52.7 95.9 96.3 96.1 83.1 99.5 NA 97.6 100 98.8 100 53.2
19790213 99.9 99.9 99.8 100 95 90.6 92.7 56.7 47.6 67.4 96 57.8 95.5 96.3 96.1 85 99.5 NA 97.6 100 98.8 100 57.9
19790214 99.9 99.9 99.5 100 95.1 89.6 92.6 60.3 53.3 70.5 94.7 62.8 94.5 96.3 96.1 86.1 99.5 NA 97.6 100 98.7 100 61.4
19790215 99.9 99.9 99.4 100 95.2 90 93.1 66.9 62.1 75.5 93.4 67.8 94 96.3 96.1 88 99.5 NA 97.6 100 98.7 100 66.2
19790216 100 100 98.7 100 96.8 90.3 93.8 72.6 68.8 79.9 92.3 71.7 94.2 99.8 98 89.4 99.9 NA 97.4 100 99.9 100 70.8
19790217 100 100 98.6 100 96.9 90.8 94.3 79.2 77.5 84.9 91 76.7 93.7 99.8 98 91.3 99.9 NA 97.4 100 99.9 100 75.5
19790218 100 100 98.3 100 96.9 89.7 94.2 82.9 83.2 88 89.6 81.7 92.7 99.8 98 92.4 99.9 NA 97.4 100 99.8 100 79
19790219 100 100 98.1 100 97 90.1 94.7 89.4 92 93 88.3 86.8 92.2 99.8 98 94.2 99.9 NA 97.4 100 99.8 100 83.7
19790220 100 99.8 94.9 96.2 96.5 90.7 94.5 89.4 91.4 93.1 89.1 78 84.2 99.8 98 94.3 99 NA 97.4 100 99.8 99.9 73.6
19790221 100 99.7 92.5 94.2 96.5 91.7 94.1 90.3 90.9 93.1 90.1 70.9 78.1 99.8 98 94.6 98.5 NA 97.4 100 99.9 99.7 64.8
19790222 100 99.6 89.4 90.4 95.9 92.3 93.9 90.3 90.2 93.2 90.9 62.1 70.1 99.8 98 94.7 97.6 NA 97.4 100 99.9 99.6 54.7
19790223 100 99.3 83.4 86.6 93.7 93.9 93.5 90.9 89.5 93.3 92 56 62.9 99 97.8 95.5 96.7 NA 97.6 100 98.9 97.7 46.2
19790224 100 99.2 80.3 82.8 93.1 94.5 93.3 90.9 88.9 93.4 92.8 47.3 54.9 99 97.8 95.5 95.9 NA 97.6 100 98.9 97.5 36.1
19790225 100 99.1 77.9 80.8 93.1 95.4 92.9 91.8 88.4 93.4 93.7 40.1 48.8 99 97.8 95.9 95.3 NA 97.6 100 99 97.4 27.3
19790226 100 98.9 74.7 77 92.6 96 92.8 91.8 87.8 93.5 94.6 31.4 40.8 99 97.8 95.9 94.5 NA 97.6 100 99 97.2 17.2
19790227 100 97.2 75.9 78.1 90.1 89.1 90.6 91.1 85.1 91.8 92.6 31.7 44.7 99 97.4 92.7 93.2 NA 94.5 100 96.8 95.7 16.7
19790228 100 94.7 75.6 77 87.9 81.2 88.5 86.9 81.3 89.8 90.7 32.6 46.1 98.9 97.1 90.7 92.4 NA 92.4 100 95.4 94.7 14.8
19790301 100 93 76.8 78.1 85.4 74.3 86.3 86.2 78.6 88.1 88.7 33 50 98.9 96.7 87.5 91.2 NA 89.3 100 93.3 93.2 14.2
19790302 100 91 76.4 76.8 84.5 65.3 84.7 83.3 73.4 83.7 87.8 35.4 53.3 96.7 95 84.9 90.1 NA 87.9 100 92.2 92.9 13.5
19790303 100 89.3 77.7 77.9 82.1 58.4 82.5 82.6 70.7 82 85.8 35.7 57.2 96.7 94.6 81.7 88.8 NA 84.8 100 90 91.4 12.9
19790304 100 86.8 77.3 76.9 79.8 50.4 80.4 78.4 67 80 83.9 36.7 58.6 96.7 94.3 79.7 88 NA 82.8 100 88.6 90.4 11
19790305 100 85.1 78.6 78 77.3 43.5 78.2 77.7 64.3 78.3 81.9 37 62.5 96.6 93.8 76.5 86.8 NA 79.7 100 86.5 88.9 10.5
19790306 100 83.4 79.5 79.4 79 49.8 77.9 75.4 65.2 78.1 84.3 33.3 59.7 96.1 94.1 79.4 87.4 NA 78.1 100 88.6 88.4 10.4
19790307 100 81.9 79.1 80.7 79.7 58.3 77.1 73.7 65.5 76.5 85.4 29.5 59.4 95.8 94.2 81.5 87.8 NA 76.3 100 90 88.4 11.2
19790308 100 80.2 80 82.1 81.4 64.5 76.8 71.5 66.5 76.2 87.8 25.8 56.6 95.3 94.5 84.5 88.5 NA 74.7 100 92.1 87.9 11.2
19790309 100 75.6 81.7 83.5 82.6 72.5 76.1 67.9 66.4 74.2 90.8 20.1 55.2 95.7 94.6 86.2 88.8 NA 73.6 100 93 87.3 11.9
19790310 100 73.9 82.6 84.9 84.3 78.7 75.8 65.7 67.4 74 93.2 16.5 52.4 95.1 94.9 89.2 89.5 NA 72 100 95.1 86.8 11.9
19790311 100 72.4 82.2 86.1 84.9 87.2 75 63.9 67.7 72.3 94.3 12.7 52.1 94.8 95 91.2 89.9 NA 70.3 100 96.5 86.8 12.6
19790312 100 70.7 83.2 87.6 86.6 93.5 74.7 61.7 68.6 72.1 96.7 9 49.3 94.3 95.3 94.2 90.6 NA 68.7 100 98.6 86.4 12.6
19790313 99.9 66.6 81.3 87.1 80 90.4 70.4 55.8 61.5 69.8 93.9 8.4 46.4 94.8 94.2 92.4 88.7 NA 67.6 99.9 97 85.1 11.6
19790314 99.9 62.5 79.7 85.7 73.4 88.3 65.8 49 52.1 65.8 90.6 7.9 43.8 95.1 92.8 90.1 86.4 NA 67.2 99.9 95.9 83.5 10.6
19790315 99.8 58.3 77.8 85.2 66.7 85.3 61.5 43.1 45 63.5 87.8 7.3 40.8 95.7 91.7 88.3 84.4 NA 66.1 99.8 94.3 82.3 9.6
19790316 99.8 53.4 75.4 81.1 59.9 83 57.3 35.1 34.7 61.5 85.1 6.6 36.9 95.8 90.2 85.9 83.8 NA 61.9 99.8 93.7 80.2 8
19790317 99.8 49.3 73.5 80.7 53.2 80 53 29.2 27.6 59.3 82.3 6.1 33.9 96.3 89.1 84.2 81.9 NA 60.8 99.7 92.1 79 7
19790318 99.7 45.1 71.9 79.2 46.6 77.9 48.4 22.4 18.2 55.2 79 5.6 31.4 96.6 87.7 81.8 79.6 NA 60.5 99.7 91 77.3 6
19790319 99.7 41 70 78.8 39.9 74.8 44.1 16.5 11.1 53 76.2 5 28.4 97.1 86.6 80 77.7 NA 59.4 99.6 89.4 76.1 5
19790320 99.6 36.8 66.3 77.1 41.8 69.4 42 14.5 10 50 74.2 5 27.3 97.2 87.5 80.9 66.3 NA 60.6 99.7 90.6 76 5
19790321 99.4 32.7 62.1 76.9 44.9 66.9 42 13.6 9.5 48.8 73.1 5 26.8 97 88.5 83 57.2 NA 61.2 99.7 91.5 76.6 5
19790322 99.3 28.5 58.5 75.3 46.7 61.4 39.9 11.7 8.5 45.9 71.1 5 25.7 97.1 89.4 83.9 45.8 NA 62.3 99.8 92.7 76.5 5.1
19790323 99.1 22.4 55.8 75.1 47.8 57.4 38.2 9.8 7.6 43 68.5 5 24.8 96.8 90.8 85.2 36.9 NA 62.9 99.8 93.8 76.7 5.1
19790324 99 18.2 52.2 73.5 49.6 52 36.1 7.8 6.6 40.1 66.5 5 23.7 96.8 91.7 86.1 25.5 NA 64.1 99.9 95 76.6 5.1
19790325 98.8 14.1 48 73.3 52.7 49.5 36.1 6.9 6.1 38.9 65.4 5 23.1 96.6 92.7 88.2 16.3 NA 64.7 99.9 95.8 77.2 5.1
19790326 98.7 9.9 44.3 71.6 54.5 44.1 34 5 5 35.9 63.4 5 22.1 96.7 93.6 89.1 5 NA 65.9 100 97.1 77.1 5.1
19790327 98.6 9.3 38.5 66.8 49.1 41.5 32.1 5 5 33.5 64.1 5 19.5 96.7 92.8 81.5 5 NA 59.9 100 93.8 73.9 5.1
