Master List of stations from stndata files. This is a template for the
GHCND data extraction/processing program.

Column 2 specifies which data can be extracted for each station.
The interpretation of this string of characters is:
  position 1 = TMIN
  position 2 = TMAX
  position 3 = PREC
  position 4 = TAVG
  position 5 = DEWP
  position 6 = WIND
  position 7 = CLDC
e.g. We may want to use everything EXCEPT precipitation, in which case
the string will be YY.YYYY
Y (upper or lower case) means yes (use it) while anything else means no.
A dot is used for no in hopes of making it easier to visualize at a glance.

The station name is also for user convenience and is not used.

The excluded years section for each station is usually blank, but in
some cases the station is one that we want to use except for a specific
period(s) during which it had obvious bad data.
If there are multiple periods they need to be separated by semicolons
Note that if an excluded period is specified it will apply to ALL data types.

station_id,   Latitude,  Longitude, UseData, station_name,              excluded_years
CA006130420 ,    42.783,   -80.983, ..Y...., AYLMER ONT HYDRO         , 
CA006131081 ,    43.083,   -79.950, YYY...., CALEDONIA                , 
CA006131165 ,    42.967,   -79.583, YYY...., CANBORO                  , 
CA006131386 ,    42.400,   -82.200, YYY...., CHATHAM                  , 
CA006131413 ,    42.383,   -82.200, YYY...., CHATHAM CFCO             , 
CA006131415 ,    42.383,   -82.217, YYY...., CHATHAM WPCP             , 2007-2019
CA006131416 ,    42.417,   -82.183, ..Y...., CHATHAM WATERWORKS       , 
CA006131982 ,    42.867,   -80.550, YYY...., DELHI CDA                , 
CA006131983 ,    42.867,   -80.550, YYY...., DELHI CS                 , 
CA006132090 ,    42.583,   -82.183, YYY...., DRESDEN                  , 
CA006132148 ,    42.833,   -79.617, YYY...., DUNNVILLE PUMPING STN    , 
CA006132470 ,    42.883,   -78.967, YYY...., FORT ERIE                , 
CA006133047 ,    43.200,   -79.567, YYY...., GRIMSBY                  , 
CA006133055 ,    43.183,   -79.567, YYY...., GRIMSBY MOUNTAIN         , 
CA006133057 ,    43.183,   -79.583, YYY...., GRIMSBY ROCK CHAPEL      , 1962-1970
CA006133120 ,    42.967,   -80.067, YYY...., HAGERSVILLE              , 
CA006133121 ,    42.933,   -80.083, YYY...., HAGERSVILLE 2            , 
CA006133360 ,    42.033,   -82.900, YYY...., HARROW CDA               , 
CA006134190 ,    42.050,   -82.667, YYY...., KINGSVILLE MOE           , 
